query_id,query,final_query,query_type,expected_titles,retrieved_titles,hit@5,precision@5,mrr
Q001,Who wrote Roja Kadale?,Who wrote Roja Kadale?,metadata_factual,roja kadale,roja kadale | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | vennilave,1,0.2,1.0
Q002,Who composed Venmegam Pennaga?,Who composed Venmegam Pennaga?,metadata_factual,venmegam pennaga,venmegam pennaga | vennilave | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,1.0
Q003,Who sang Marana Mass?,Who sang Marana Mass?,metadata_factual,marana mass,marana mass | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | vennilave,1,0.2,1.0
Q004,Which movie is Vennilave from?,Which movie is Vennilave from?,metadata_factual,vennilave,vennilave | venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,1.0
Q005,What year did Vizhi Moodi Yosithal come out?,What year did Vizhi Moodi Yosithal come out? eye eyes gaze kan kann look nayanam paarvai vizhi கண் கண்ணே நயனம் பார்வை விழி,metadata_factual,vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga,1,0.6,1.0
Q006,Show me romantic songs,Show me romantic songs anbu kaadhal kadhal love romance romantic அன்பு காதல்,structured_filter,roja kadale | venmegam pennaga | vennilave | vizhi moodi yosithal,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | roja kadale | venmegam pennaga,1,1.0,1.0
Q007,List energetic songs,List energetic songs,structured_filter,marana mass,marana mass | vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal,1,0.2,1.0
Q008,Songs composed by Harris Jayaraj,Songs composed by Harris Jayaraj,structured_filter,roja kadale | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga,1,0.8,1.0
Q009,Songs by Na Muthukumar,Songs by Na Muthukumar,structured_filter,venmegam pennaga | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | roja kadale | vennilave,1,0.8,1.0
Q010,Songs released in 2012,Songs released in 2012,structured_filter,vennilave,vizhi moodi yosithal | vennilave | marana mass | vizhi moodi yosithal | vizhi moodi yosithal,1,0.2,0.5
Q011,Romantic songs composed by Harris Jayaraj,Romantic songs composed by Harris Jayaraj anbu kaadhal kadhal love romance romantic அன்பு காதல்,structured_filter,roja kadale | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal,1,0.8,1.0
Q012,Romantic songs written by Vairamuthu,Romantic songs written by Vairamuthu anbu kaadhal kadhal love romance romantic அன்பு காதல்,structured_filter,roja kadale,vennilave | vizhi moodi yosithal | vizhi moodi yosithal | venmegam pennaga | roja kadale,1,0.2,0.2
