id,title,movie,year,singers,lyricist,composer,mood,themes,lyrics,source_url
1,Roja Kadale,Anegan,2015.0,Sunidhi Chauhan and Chinmayi,Vairamuthu,Harris Jayaraj,Romantic,Love;Devotion,Roja Kadalae En rajaa magalae,https://www.tamil2lyrics.com/lyrics/roja-kadalae-song-lyrics/
2,Venmegam Pennaga,Yaaradi Nee Mohini,2008.0,Hariharan,Na.Muthukumar,Yuvan Shankar Raja,Romantic,Love;Fantasy,Venmegam pennaga uruvaanatho...Manjal veyil nee minnal oli nee,https://www.tamil2lyrics.com/lyrics/venmegam-pennaga-song-lyrics/
3,Marana Mass,Petta,2018.0,S. P. Balasubrahmanyam and Anirudh Ravichander,Vivek,Anirudh Ravichander,Energetic,Mass,Thatlaatam dhaanga Tharlaanga song ah... Evandaa mela Evandaa keezha,https://www.tamil2lyrics.com/lyrics/marana-mass-song-lyrics/
4,Vennilave,Thuppakki,2012.0,Bombay Jayashree and Hariharan,Na. Muthukumar,Harris Jayaraj,Romantic,Love;Moonlight,Vennilavae tharayil uthithaai Oru siripil idhayam parithaai,
5,Vizhi Moodi Yosithal,Ayan,2009.0,Karthik,Na.Muthukumar,Harris Jayaraj,Romantic,eyes,"Vizhi moodi yosithaal
Angeyum vanthaai...
Aasai ennum
Thoondil mul thaan
Mazhai kiliyae",https://www.tamil2lyrics.com/lyrics/vizhi-moodi-yosithal-song-lyrics/
6,Munbe Vaa,Sillunu Oru Kaadhal,2006.0,Naresh Iyer; Shreya Ghoshal,Vaali,A. R. Rahman,Romantic,Love;Longing;Breeze, காதல் longing breeze eyes heart memory,
7,New York Nagaram,Sillunu Oru Kaadhal,2006.0,A. R. Rahman,Vaali,A. R. Rahman,Sad,Separation;Loneliness;City, loneliness separation city night missing someone தனிமை பிரிவு,
8,Enna Solla Pogirai,Kandukondain Kandukondain,2000.0,Shankar Mahadevan,Vairamuthu,A. R. Rahman,Romantic,Love;Proposal;Confession, love confession heart question காதல் சொல்லுதல்,
9,Snehithane,Alaipayuthey,2000.0,Sadhana Sargam; Srinivas,Vairamuthu,A. R. Rahman,Romantic,Love;Marriage;Intimacy, romantic affection togetherness காதல் அன்பு,
10,Pachai Nirame,Alaipayuthey,2000.0,Hariharan; Clinton Cerejo,Vairamuthu,A. R. Rahman,Romantic,Love;Colors;Nature, colors nature love green rain sky காதல் இயற்கை,
11,Vaseegara,Minnale,2001.0,Bombay Jayashri,Thamarai,Harris Jayaraj,Romantic,Love;Desire;Dream, romantic dream desire heart காதல் கனவு,
12,Ondra Renda,Kaakha Kaakha,2003.0,Bombay Jayashri,Thamarai,Harris Jayaraj,Romantic,Love;Praise;Beauty, beauty love admiration eyes பார்வை காதல்,
13,Anbil Avan,Vinnaithaandi Varuvaayaa,2010.0,Devan Ekambaram; Chinmayi,Thamarai,A. R. Rahman,Romantic,Love;Wedding;Devotion, love devotion marriage together காதல் உறவு,
14,Hosanna,Vinnaithaandi Varuvaayaa,2010.0,Vijay Prakash; Suzanne D'Mello; Blaaze,Thamarai,A. R. Rahman,Romantic,Love;First Love;Longing, first love longing prayer காதல் ஏக்கம்,
15,Mannipaaya,Vinnaithaandi Varuvaayaa,2010.0,A. R. Rahman; Shreya Ghoshal,Thamarai,A. R. Rahman,Sad,Love;Regret;Forgiveness, regret forgiveness love pain மன்னிப்பு வலி,
16,Nenjukkul Peidhidum,Vaaranam Aayiram,2008.0,Hariharan; Devan Ekambaram; V. V. Prassanna,Thamarai,Harris Jayaraj,Romantic,Love;Rain;Heart, rain heart love mazhai காதல் மழை,
17,Ava Enna,Vaaranam Aayiram,2008.0,Karthik; V. V. Prassanna,Thamarai,Harris Jayaraj,Sad,Breakup;Longing;Memory, breakup memory missing love pirivu பிரிவு,
18,Annul Maelae,Vaaranam Aayiram,2008.0,Sudha Raghunathan,Thamarai,Harris Jayaraj,Melancholy,Love;Yearning;Classical, yearning love classical longing ஏக்கம் காதல்,
19,Anbe Anbe,Jeans,1998.0,Hariharan; Anuradha Sriram,Vairamuthu,A. R. Rahman,Romantic,Love;Beauty;Admiration, love beauty admiration heart காதல் அழகு,
20,Poovukkul,Jeans,1998.0,Unnikrishnan; Sujatha Mohan,Vairamuthu,A. R. Rahman,Romantic,Love;Wonder;World, wonder world love flower பூ காதல்,
21,Kadhal Rojave,Roja,1992.0,S. P. Balasubrahmanyam; Sujatha Mohan,Vairamuthu,A. R. Rahman,Sad,Love;Separation;Longing, separation longing rose love பிரிவு ரோஜா,
22,Chinna Chinna Aasai,Roja,1992.0,Minmini,Vairamuthu,A. R. Rahman,Happy,Dreams;Hope;Nature, dreams hope nature happiness ஆசை கனவு,
23,Uyire Uyire,Bombay,1995.0,Hariharan; K. S. Chithra,Vairamuthu,A. R. Rahman,Romantic,Love;Pain;Soul, soul love pain longing உயிர் காதல்,
24,Kannalane,Bombay,1995.0,K. S. Chithra,Vairamuthu,A. R. Rahman,Romantic,Eyes;Love;Longing, eyes love gaze kan vizhi கண் விழி,
25,Ennavale Adi Ennavale,Kadhalan,1994.0,Unnikrishnan,Vairamuthu,A. R. Rahman,Romantic,Love;Devotion;Beauty, devotion love beauty காதல் பக்தி,
