query_id,query,final_query,query_type,expected_titles,retrieved_titles,hit@5,precision@5,mrr
Q001,Who wrote Roja Kadale?,Who wrote Roja Kadale?,metadata_factual,roja kadale,roja kadale | vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | kadhal rojave,1,0.2,1.0
Q002,Who composed Venmegam Pennaga?,Who composed Venmegam Pennaga?,metadata_factual,venmegam pennaga,venmegam pennaga | vennilave | vizhi moodi yosithal | vizhi moodi yosithal | kurumugil,1,0.2,1.0
Q003,Who sang Marana Mass?,Who sang Marana Mass?,metadata_factual,marana mass,marana mass | aaluma doluma | rowdy baby | arabic kuthu | vizhi moodi yosithal,1,0.2,1.0
Q004,Which movie is Vennilave from?,Which movie is Vennilave from?,metadata_factual,vennilave,vennilave | venmegam pennaga | vizhi moodi yosithal | vizhi moodi yosithal | nila kaigirathu,1,0.2,1.0
Q005,What year did Vizhi Moodi Yosithal come out?,What year did Vizhi Moodi Yosithal come out?,metadata_factual,vizhi moodi yosithal,vizhi moodi yosithal | kannalane | vennilave | vizhi moodi yosithal | venmegam pennaga,1,0.4,1.0
Q006,Show me romantic songs,Show me romantic songs,structured_filter,roja kadale | venmegam pennaga | vennilave | vizhi moodi yosithal,snehithane | idhazhin oram | arabic kuthu | ennavale adi ennavale | vennilave,1,0.2,0.2
Q007,List energetic songs,List energetic songs,structured_filter,marana mass,rowdy baby | arabic kuthu | mukkala mukkabala | aaluma doluma | marana mass,1,0.2,0.2
Q008,Songs composed by Harris Jayaraj,Songs composed by Harris Jayaraj,structured_filter,roja kadale | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga,1,0.8,1.0
Q009,Songs by Na Muthukumar,Songs by Na Muthukumar,structured_filter,venmegam pennaga | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vizhi moodi yosithal | vizhi moodi yosithal | roja kadale | vennilave,1,0.8,1.0
Q010,Songs released in 2012,Songs released in 2012,structured_filter,vennilave,vizhi moodi yosithal | vennilave | marana mass | vizhi moodi yosithal | arabic kuthu,1,0.2,0.5
Q011,Romantic songs composed by Harris Jayaraj,Romantic songs composed by Harris Jayaraj,structured_filter,roja kadale | vennilave | vizhi moodi yosithal,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | venmegam pennaga | vizhi moodi yosithal,1,0.8,1.0
Q012,Romantic songs written by Vairamuthu,Romantic songs written by Vairamuthu,structured_filter,roja kadale,vizhi moodi yosithal | vennilave | vizhi moodi yosithal | roja kadale | venmegam pennaga,1,0.2,0.25
Q013,Mass songs by Anirudh,Mass songs by Anirudh,structured_filter,marana mass,marana mass | aaluma doluma | vizhi moodi yosithal | arabic kuthu | vizhi moodi yosithal,1,0.2,1.0
Q014,Find songs about love,Find songs about love,theme_search,roja kadale | venmegam pennaga | vennilave,arabic kuthu | snehithane | ennavale adi ennavale | telephone manipol | ennodu nee irundhaal,0,0.0,0.0
Q015,Show songs about eyes,Show songs about eyes,theme_search,vizhi moodi yosithal,kannalane | suttum vizhi | ondra renda | oru kal oru kannadi | kangal irandal,0,0.0,0.0
Q016,List songs about moonlight,List songs about moonlight,theme_search,vennilave,nila kaigirathu | vennilave | rowdy baby | arabic kuthu | vizhi moodi yosithal,1,0.2,0.5
Q017,Find fantasy love songs,Find fantasy love songs,theme_search,venmegam pennaga,arabic kuthu | vaseegara | ennavale adi ennavale | telephone manipol | vennilave,0,0.0,0.0
Q018,Find mass energetic songs,Find mass energetic songs,theme_search,marana mass,rowdy baby | arabic kuthu | aaluma doluma | mukkala mukkabala | naa ready,0,0.0,0.0
Q019,lines about a rose and a king's daughter,lines about a rose and a king's daughter,semantic_lyrics,roja kadale,kadhal rojave | roja kadale | pookkalae sattru oyivedungal | malargale malargale | ennavale adi ennavale,1,0.2,0.5
Q020,lines about white cloud becoming a woman,lines about white cloud becoming a woman,semantic_lyrics,venmegam pennaga,kurumugil | megham karukatha | mazhai varum | ennavale adi ennavale | po nee po,0,0.0,0.0
Q021,lines about yellow sunlight and lightning,lines about yellow sunlight and lightning,semantic_lyrics,venmegam pennaga,megham karukatha | kurumugil | venmegam pennaga | mazhai varum | nila kaigirathu,1,0.2,0.3333333333333333
Q022,lines about the moon coming down to earth,lines about the moon coming down to earth,semantic_lyrics,vennilave,nila kaigirathu | mazhai varum | po nee po | thalli pogathey | kurumugil,0,0.0,0.0
Q023,lines about closing eyes and thinking,lines about closing eyes and thinking,semantic_lyrics,vizhi moodi yosithal,kannalane | suttum vizhi | oru kal oru kannadi | anbil avan reprise demo | kangal irandal,0,0.0,0.0
Q024,lines about rain bird,lines about rain bird,semantic_lyrics,vizhi moodi yosithal,mazhai varum | nenjukkul peidhidum | megham karukatha | kurumugil | pachai nirame,0,0.0,0.0
Q025,lines about who is above and who is below,lines about who is above and who is below,semantic_lyrics,marana mass,marana mass | po nee po | thalli pogathey | snehithane | new york nagaram,1,0.2,1.0
Q026,kan pathi song lines,kan pathi song lines,tanglish_query,vizhi moodi yosithal,kannalane | suttum vizhi | oru kal oru kannadi | kangal irandal | munbe vaa,0,0.0,0.0
Q027,mazhai irukkura lines,mazhai irukkura lines,tanglish_query,vizhi moodi yosithal,mazhai varum | nenjukkul peidhidum | megham karukatha | kurumugil | vizhi moodi yosithal,1,0.2,0.2
Q028,kadhal songs sollu,kadhal songs sollu,tanglish_query,roja kadale | venmegam pennaga | vennilave,vennilave | vizhi moodi yosithal | kurumugil | arabic kuthu | vizhi moodi yosithal,1,0.2,1.0
